,Post URL
0,https://www.patheos.com/blogs/monkeymind/2006/09/on-teaching-zen-in-a-classroom.html
1,https://www.patheos.com/blogs/monkeymind/2006/09/a-reflection-on-cultural-appropriation-in-religion.html
2,https://www.patheos.com/blogs/monkeymind/2006/09/dear-diary-and-the-heathen-preacher.html
3,https://www.patheos.com/blogs/monkeymind/2006/09/george-orwell-and-writing-as-spiritual-practice.html
4,https://www.patheos.com/blogs/monkeymind/2006/09/this-and-that-with-an-emphasis-on-buddhist-film.html
5,https://www.patheos.com/blogs/monkeymind/2006/09/arrived-in-chicago.html
6,https://www.patheos.com/blogs/monkeymind/2006/09/gone-gone-gone-beyond.html
7,https://www.patheos.com/blogs/monkeymind/2006/09/children-running-through.html
8,https://www.patheos.com/blogs/monkeymind/2006/09/cool-buddhism.html
9,https://www.patheos.com/blogs/monkeymind/2006/09/recalling-september-11th.html
10,https://www.patheos.com/blogs/monkeymind/2006/09/liberal-religion-in-brief.html
11,https://www.patheos.com/blogs/monkeymind/2006/09/zen-blogs.html
12,https://www.patheos.com/blogs/monkeymind/2006/09/layman-pang-his-daughter.html
13,https://www.patheos.com/blogs/monkeymind/2006/09/wake-up-and-experience-your-life.html
14,https://www.patheos.com/blogs/monkeymind/2006/09/getting-married.html
15,https://www.patheos.com/blogs/monkeymind/2006/09/we-set-goals.html
16,https://www.patheos.com/blogs/monkeymind/2006/09/talking-about-food.html
17,https://www.patheos.com/blogs/monkeymind/2006/09/the-sabbatical-begins.html
18,https://www.patheos.com/blogs/monkeymind/2006/09/death-trumps.html
19,https://www.patheos.com/blogs/monkeymind/2006/09/spirituality-is-difficult.html
20,https://www.patheos.com/blogs/monkeymind/2006/09/shoes.html
21,https://www.patheos.com/blogs/monkeymind/2006/09/there-were-two-elders.html
22,https://www.patheos.com/blogs/monkeymind/2006/09/forfrom-lew.html
