,Post URL
0,https://www.patheos.com/blogs/bodhisattvaroad/2016/05/why-did-you-become-a-buddhist/
1,https://www.patheos.com/blogs/bodhisattvaroad/2016/04/the-buddha-and-the-truth-about-suffering/
2,https://www.patheos.com/blogs/bodhisattvaroad/2016/04/kensho/
3,https://www.patheos.com/blogs/bodhisattvaroad/2016/04/the-four-immeasurable-minds/
4,https://www.patheos.com/blogs/bodhisattvaroad/2016/03/the-six-perfections/
5,https://www.patheos.com/blogs/bodhisattvaroad/2016/03/compassion-that-is-boundless/
6,https://www.patheos.com/blogs/bodhisattvaroad/2016/03/spring/
7,https://www.patheos.com/blogs/bodhisattvaroad/2016/03/all-training-is-on-the-job/
8,https://www.patheos.com/blogs/bodhisattvaroad/2016/03/whats-a-bodhisattva/
9,https://www.patheos.com/blogs/bodhisattvaroad/2016/03/thus-should-one-regard-ones-self/
