,Post URL
0,https://www.patheos.com/blogs/bodhisattvaroad/2016/05/why-did-you-become-a-buddhist/
1,https://www.patheos.com/blogs/bodhisattvaroad/2016/04/the-buddha-and-the-truth-about-suffering/
2,https://www.patheos.com/blogs/bodhisattvaroad/2016/04/kensho/
3,https://www.patheos.com/blogs/bodhisattvaroad/2016/04/the-four-immeasurable-minds/
4,https://www.patheos.com/blogs/bodhisattvaroad/2016/03/the-six-perfections/
5,https://www.patheos.com/blogs/bodhisattvaroad/2016/03/compassion-that-is-boundless/
6,https://www.patheos.com/blogs/bodhisattvaroad/2016/03/spring/
7,https://www.patheos.com/blogs/bodhisattvaroad/2016/03/all-training-is-on-the-job/
8,https://www.patheos.com/blogs/bodhisattvaroad/2016/03/whats-a-bodhisattva/
9,https://www.patheos.com/blogs/bodhisattvaroad/2016/03/thus-should-one-regard-ones-self/
10,https://www.patheos.com/blogs/notesfromthetemple/2017/12/happy-christmas/
11,https://www.patheos.com/blogs/notesfromthetemple/2017/12/feeling-naked/
12,https://www.patheos.com/blogs/notesfromthetemple/2017/12/sutta-study-self-control-difficult/
13,https://www.patheos.com/blogs/notesfromthetemple/2017/12/arguing-with-myself/
14,https://www.patheos.com/blogs/notesfromthetemple/2017/12/on-luxury/
15,https://www.patheos.com/blogs/notesfromthetemple/2017/12/outdated-roles-play/
16,https://www.patheos.com/blogs/notesfromthetemple/2017/12/230/
17,https://www.patheos.com/blogs/notesfromthetemple/2017/12/forgetting-take-refuge/
18,https://www.patheos.com/blogs/notesfromthetemple/2017/12/on-scuppered-plans/
19,https://www.patheos.com/blogs/notesfromthetemple/2017/12/dealing-with-jealousy/
20,https://www.patheos.com/blogs/notesfromthetemple/2017/11/the-magic-paperweight/
21,https://www.patheos.com/blogs/notesfromthetemple/2017/11/in-praise-of-familiarity/
22,https://www.patheos.com/blogs/notesfromthetemple/2017/11/first-weekend-off-four-years/
23,https://www.patheos.com/blogs/notesfromthetemple/2017/11/what-are-you-selling/
24,https://www.patheos.com/blogs/notesfromthetemple/2017/11/sutta-study-astounding/
25,https://www.patheos.com/blogs/notesfromthetemple/2017/11/crack-cocaine-bunnies/
26,https://www.patheos.com/blogs/notesfromthetemple/2017/11/sutta-study-need-kill-someone-off/
27,https://www.patheos.com/blogs/notesfromthetemple/2017/11/what-is-your-vocation/
28,https://www.patheos.com/blogs/notesfromthetemple/2017/11/carried-away-current/
29,https://www.patheos.com/blogs/notesfromthetemple/2017/11/whos-done-this-to-me/
30,https://www.patheos.com/blogs/notesfromthetemple/2017/11/how-to-change-your-life/
31,https://www.patheos.com/blogs/notesfromthetemple/2017/11/there-are-gifts-everywhere/
32,https://www.patheos.com/blogs/notesfromthetemple/2017/11/rucksack-full-greed/
33,https://www.patheos.com/blogs/notesfromthetemple/2017/10/seductive-deliciousness-praise/
34,https://www.patheos.com/blogs/notesfromthetemple/2017/10/coming-pureland-buddhist/
35,https://www.patheos.com/blogs/notesfromthetemple/2017/10/joining-communities-hard/
36,https://www.patheos.com/blogs/notesfromthetemple/2017/10/on-falling-into-ditches/
37,https://www.patheos.com/blogs/notesfromthetemple/2017/10/where-should-we-rest-our-eyes/
38,https://www.patheos.com/blogs/notesfromthetemple/2017/10/sutta-study-speak/
39,https://www.patheos.com/blogs/notesfromthetemple/2017/10/falling-in-love-over-and-over/
40,https://www.patheos.com/blogs/notesfromthetemple/2017/10/selling-bitter-medicine/
41,https://www.patheos.com/blogs/notesfromthetemple/2017/10/sutta-study-dont-help-help/
42,https://www.patheos.com/blogs/notesfromthetemple/2017/10/buddha-every-hell-realm/
43,https://www.patheos.com/blogs/notesfromthetemple/2017/10/choosing-chocolates-missing/
44,https://www.patheos.com/blogs/notesfromthetemple/2017/10/buddhist-priest-doesnt-like-meditate/
45,https://www.patheos.com/blogs/notesfromthetemple/2017/10/making-space-grace/
46,https://www.patheos.com/blogs/notesfromthetemple/2017/09/help-according-dogen/
47,https://www.patheos.com/blogs/notesfromthetemple/2017/09/should-buddhists-be-vegan/
48,https://www.patheos.com/blogs/notesfromthetemple/2017/09/buddhist-european-leaders-get-along/
49,https://www.patheos.com/blogs/notesfromthetemple/2017/09/warning-blog-alive/
50,https://www.patheos.com/blogs/notesfromthetemple/2017/09/cat-dharma/
51,https://www.patheos.com/blogs/notesfromthetemple/2017/09/silly-dinner-table/
52,https://www.patheos.com/blogs/notesfromthetemple/2017/09/on-being-the-buddhas-gardener/
53,https://www.patheos.com/blogs/notesfromthetemple/2017/09/week-life-temple/
54,https://www.patheos.com/blogs/notesfromthetemple/2017/09/pausing-plug-buddha/
55,https://www.patheos.com/blogs/notesfromthetemple/2017/09/im-satya-can-help/
