,0
0,https://www.patheos.com/blogs/cinemeditations/2013/11/almost-human-review-can-the-show-go-further-than-skin-deep/
1,https://www.patheos.com/blogs/soulandcity/2018/03/darkest-hour-review/
2,https://www.patheos.com/blogs/wheelsfaith/2017/02/open-the-door/
3,https://www.patheos.com/blogs/revangelical/2018/12/21/unsung-heroes-of-christmas-jesus-family-tree.html
4,https://www.patheos.com/blogs/seekingshanti/2017/03/happy-ugadi/
5,https://www.patheos.com/blogs/backstagepass/2018/08/military-widow-fights-to-keep-the-faith-in-god-bless-the-broken-road/
6,https://www.patheos.com/blogs/browneyedamazon/2018/10/i-want-to-throw-my-scale-away-and-buy-more-crop-tops/
7,https://www.patheos.com/blogs/backstagepass/2018/05/paul-apostle-of-christ-offers-heroic-legend-not-biblical-history/
8,https://www.patheos.com/blogs/kateohare/2019/03/story-god-morgan-freeman-jesus-resurrection/
9,https://www.patheos.com/blogs/preventingrace/2019/04/04/thursdaythought-utopia-will-be-awesome/
10,https://www.patheos.com/blogs/faithwithwisdom/2017/05/religious-liberty-threatened/
11,https://www.patheos.com/blogs/progressiveamerican/2017/09/president-obamas-perfect-response-trumps-repeal-daca/
12,https://www.patheos.com/blogs/blinkyandsal/2019/03/2641/
13,https://www.patheos.com/blogs/spiritualdirection101/2018/12/advent-praying-the-benedictus/
14,https://www.patheos.com/blogs/sisterrosemovies/2018/10/the-eugenics-crusade-continues-today-premieres-pbs-october-16/
15,https://www.patheos.com/blogs/azizpoonawalla/2018/08/the-real-swing-voter/
16,https://www.patheos.com/blogs/rebeccaflorencemiller/2017/12/best-reads-2017/
17,https://www.patheos.com/blogs/jenniferchronicles/2016/06/floppy-vs-the-filly-photo-of-the-day/
18,https://www.patheos.com/blogs/christianpiatt/2017/10/episode-kinda-matter-life-death/
19,https://www.patheos.com/blogs/erickaandersen/2018/03/take-notes-parkland-mom-speaks-with-rubio-is-pleasantly-surprised-video/
20,https://www.patheos.com/blogs/politicsblue/2017/06/jesus-donald-trump/
21,https://www.patheos.com/blogs/hawthorneandtherose/2019/01/rekindling-your-hearth-home-for-imbolc/
22,https://www.patheos.com/blogs/viviannecrowley/2016/10/samhain-connecting-to-ancestors-of-blood-spirit-place/
23,https://www.patheos.com/blogs/eastmeetswestsocialworker/2019/02/love-is-not-blind-it-sees-more-not-less/
24,https://www.patheos.com/blogs/faithinpubliclife/2018/10/food-stamps-some-good-news-out-of-september/
25,https://www.patheos.com/blogs/hindu2/2019/01/j-krishnamurti-sorrow-is-part-of-our-self-centred-activity-video/
26,https://www.patheos.com/blogs/hindu2/2019/02/upa-or-nda-which-is-better-factual-comparison/
27,https://www.patheos.com/blogs/philfoxrose/2014/11/sybil-macbeths-the-season-of-the-nativity-is-a-trove-of-ideas-for-fellow-advent-extremists/
28,https://www.patheos.com/blogs/fridaynightheretics/2016/04/kevin-smiths-amazing-week-with-prince/
29,https://www.patheos.com/blogs/oakandolive/2019/03/ostara-spring-welcoming/
30,https://www.patheos.com/blogs/notesfromthetemple/2017/12/on-scuppered-plans/
31,https://www.patheos.com/blogs/jaysondbradley/2018/06/surviving-church/
32,https://www.patheos.com/blogs/emergentvillage/2017/05/mamie-know-mothers-day-poem-mamie-till-mobley/
33,https://www.patheos.com/blogs/duffy/2014/11/pope-meets-with-catholics-on-the-autism-spectrum-how-does-this-interest-translate-to-our-local-catholic-school-and-parishes/
34,https://www.patheos.com/blogs/companionsonthejourney/2019/02/alzheimers-patient-dementia-compassion/
35,https://www.patheos.com/blogs/seekingshanti/2017/04/religion-science-complementary/
36,https://www.patheos.com/blogs/jesuscreed/2019/04/09/natures-witness-rjs/
37,https://www.patheos.com/blogs/anxiousbench/2019/04/how-has-ethnic-studies-changed-american-religious-studies/
38,https://www.patheos.com/blogs/chargedbythegoddess/2019/01/pledging-to-brigid-remembering-to-remember-before-fire-and-water/
39,https://www.patheos.com/blogs/benjaminthescribe/2019/01/a-sacrament-meeting-sermon-on-forgiveness/
40,https://www.patheos.com/blogs/onscripture/2017/03/holy-visitation-matthew-171-9-john-31-17/
41,https://www.patheos.com/blogs/orthodoxyincommunionwithrome/2019/02/sadly-i-too-am-governor-northam/
42,https://www.patheos.com/blogs/rolandwarren/2018/08/should-men-be-forced-to-pay-child-support/
43,https://www.patheos.com/blogs/oikonomia/2016/12/politics-character-competition/
44,https://www.patheos.com/blogs/fuller/2017/12/liturgical-meditations-advent/
45,https://www.patheos.com/blogs/teaaddictedwitch/2018/12/hellenic-science-medicine/
46,https://www.patheos.com/blogs/markdriscoll/2018/06/shocking-revenge-obituaries-and-5-reasons-to-forgive-today/
47,https://www.patheos.com/blogs/holyscapes/2018/10/the-spiritual-ecology-of-silence/
48,https://www.patheos.com/blogs/benjaminthescribe/2018/12/gospel-doctrine-lesson-48-zechariah-malachi/
49,https://www.patheos.com/blogs/askamuslim/2019/02/removing-life-support-from-a-family-member-sharing-my-experience/
50,https://www.patheos.com/blogs/markdroberts/2018/10/24/unflinching-hospitality/
