,Post URL
0,https://www.patheos.com/blogs/abletochoose/2019/04/persecution-complex/
1,https://www.patheos.com/blogs/abletochoose/2018/11/kicking-jesus-in-christian-bedroom/
2,https://www.patheos.com/blogs/abletochoose/2018/10/jesus_halloween/
3,https://www.patheos.com/blogs/abletochoose/2018/02/trump-spiritual-advisor-paula-white/
4,https://www.patheos.com/blogs/abletochoose/2018/02/billy-graham-ambulance-chaser/
5,https://www.patheos.com/blogs/abletochoose/2017/12/original-war-on-christmas/
6,https://www.patheos.com/blogs/abletochoose/2017/11/awkward-bible-jesus-christ/
7,https://www.patheos.com/blogs/abletochoose/2017/11/baby-cannibalism-awkward-bible-horus/
8,https://www.patheos.com/blogs/abletochoose/2017/09/journals-healthy-years-part-5-surviving-selficide/
9,https://www.patheos.com/blogs/abletochoose/2017/08/father-part-4-surviving-selficide/
10,https://www.patheos.com/blogs/abletochoose/2017/08/funeral-surviving-selficide-part-three/
11,https://www.patheos.com/blogs/abletochoose/2017/07/atheist-accused-murder-surviving-selficide-part-2/
12,https://www.patheos.com/blogs/abletochoose/2017/07/atheist-accused-murder-surviving-selficide-part-1/
13,https://www.patheos.com/blogs/abletochoose/2017/01/january-31-masters-handiwork/
14,https://www.patheos.com/blogs/abletochoose/2017/01/january-30-work-progress/
15,https://www.patheos.com/blogs/abletochoose/2017/01/january-29-unconditional-love/
16,https://www.patheos.com/blogs/abletochoose/2017/01/dear-christians-fix-it/
17,https://www.patheos.com/blogs/abletochoose/2017/01/january-28-spiritual-conditioning/
18,https://www.patheos.com/blogs/abletochoose/2017/01/january-27-stand-firm/
19,https://www.patheos.com/blogs/abletochoose/2017/01/january-26-gods-profile-never-changes/
20,https://www.patheos.com/blogs/abletochoose/2017/01/anuary-25-do-some-pruning/
21,https://www.patheos.com/blogs/abletochoose/2017/01/january-24-share-struggles/
22,https://www.patheos.com/blogs/abletochoose/2017/01/ask-for-wisdom-by-avoiding-knowledge-living-without-jesus-daily-jan-23/
23,https://www.patheos.com/blogs/abletochoose/2017/01/january-22-schedule-rest/
24,https://www.patheos.com/blogs/abletochoose/2017/01/january-21-be-a-bridge/
25,https://www.patheos.com/blogs/abletochoose/2017/01/january-20-live-as-forgiven/
26,https://www.patheos.com/blogs/abletochoose/2017/01/january-19-finish-the-race/
27,https://www.patheos.com/blogs/abletochoose/2017/01/january-18-trust-him/
28,https://www.patheos.com/blogs/abletochoose/2017/01/january-17-laugh-regularly/
29,https://www.patheos.com/blogs/abletochoose/2017/01/january-16-our-firm-foundation/
30,https://www.patheos.com/blogs/abletochoose/2017/01/rely-upon-not-january-15-living-without-jesus-daily/
31,https://www.patheos.com/blogs/abletochoose/2017/01/january-14-he-will-provide/
32,https://www.patheos.com/blogs/abletochoose/2017/01/january-13-be-who-you-are/
33,https://www.patheos.com/blogs/abletochoose/2017/01/january-12-remain-connected/
34,https://www.patheos.com/blogs/abletochoose/2017/01/january-11-his-grace-transforms/
35,https://www.patheos.com/blogs/abletochoose/2017/01/january-10-finding-contentment/
36,https://www.patheos.com/blogs/abletochoose/2017/01/january-9-walk-on-water/
37,https://www.patheos.com/blogs/abletochoose/2017/01/he-can-handle-it-you-cant-january-8-living-without-jesus-daily/
38,https://www.patheos.com/blogs/abletochoose/2017/01/january-7-run-to-him/
39,https://www.patheos.com/blogs/abletochoose/2017/01/january-6-he-is-able/
40,https://www.patheos.com/blogs/abletochoose/2017/01/january-5-he-is-strong/
41,https://www.patheos.com/blogs/abletochoose/2017/01/january-4-he-in-ahead-of-us/
42,https://www.patheos.com/blogs/abletochoose/2017/01/january-3-he-is-with-us/
43,https://www.patheos.com/blogs/abletochoose/2017/01/january-2-he-is-in-control/
44,https://www.patheos.com/blogs/abletochoose/2017/01/january-1-living-without-jesus-daily/
45,https://www.patheos.com/blogs/abletochoose/2017/01/circumcision-of-jesus/
46,https://www.patheos.com/blogs/abletochoose/2016/12/living-without-jesus-daily/
47,https://www.patheos.com/blogs/abletochoose/2016/11/is-a-holy-war-coming-to-america/
48,https://www.patheos.com/blogs/abletochoose/2016/11/mortal-sin-democrat/
49,https://www.patheos.com/blogs/abletochoose/2016/10/christophobic-christian-leaders-outrage-clinton/
50,https://www.patheos.com/blogs/abletochoose/2016/10/study-evangelicals-america/
51,https://www.patheos.com/blogs/abletochoose/2016/10/not-my-president-dump-trump/
52,https://www.patheos.com/blogs/abletochoose/2016/10/bring-your-bible-to-school-day-october-6th/
53,https://www.patheos.com/blogs/abletochoose/2016/08/annabelle-aiden-evolution-kids/
54,https://www.patheos.com/blogs/abletochoose/2016/08/love-of-god/
55,https://www.patheos.com/blogs/abletochoose/2016/08/praying-baby/
56,https://www.patheos.com/blogs/abletochoose/2016/08/video-miracles-are-real-more-scientific-proof/
57,https://www.patheos.com/blogs/abletochoose/2016/08/wrestling-god-bible/
58,https://www.patheos.com/blogs/abletochoose/2016/08/abortion-in-the-bible/
59,https://www.patheos.com/blogs/abletochoose/2016/08/slaves-bible/
60,https://www.patheos.com/blogs/abletochoose/2016/08/silence-ladies/
61,https://www.patheos.com/blogs/abletochoose/2016/08/donkeys-dont-talk/
62,https://www.patheos.com/blogs/abletochoose/2016/08/burn-jesus/
63,https://www.patheos.com/blogs/abletochoose/2016/08/mike-pence-evolution/
64,https://www.patheos.com/blogs/abletochoose/2016/07/ahh-hell-no-sayeth-the-lord-the-troubling-tower-of-babel/
65,https://www.patheos.com/blogs/abletochoose/2016/07/kennys-kreationist-kult/
66,https://www.patheos.com/blogs/abletochoose/2016/06/the-worst-wig/
67,https://www.patheos.com/blogs/abletochoose/2016/06/jesus-kills-unicorns/
68,https://www.patheos.com/blogs/abletochoose/2016/06/banned-dont-talk-about-the-effects-of-bigotry-facebook/
69,https://www.patheos.com/blogs/abletochoose/2016/06/good-for-nothing/
70,https://www.patheos.com/blogs/abletochoose/2016/06/kids-for-cash/
71,https://www.patheos.com/blogs/abletochoose/2016/06/atheists-are-good-for-nothing/
72,https://www.patheos.com/blogs/abletochoose/2016/06/homosexuality-in-the-bible/
73,https://www.patheos.com/blogs/abletochoose/2016/06/photographic-proof-demons-and-spiritual-warfare-are-real/
74,https://www.patheos.com/blogs/abletochoose/2016/06/should-the-old-testament-matter-to-christians-jesus-says/
75,https://www.patheos.com/blogs/abletochoose/2016/05/homophobic-training-edition/
76,https://www.patheos.com/blogs/abletochoose/2016/05/kids-response-to-bible-passages/
77,https://www.patheos.com/blogs/abletochoose/2016/05/cast-the-first-stone-added-to-the-bible/
78,https://www.patheos.com/blogs/abletochoose/2016/05/pastor-abuses-dog-for-bible-lesson/
79,https://www.patheos.com/blogs/abletochoose/2016/05/what-goes-around-comes-around/
80,https://www.patheos.com/blogs/abletochoose/2016/05/the-national-day-of-prayer-not-so-fast-hypocrites-jesus/
81,https://www.patheos.com/blogs/abletochoose/2016/05/in-god-we-trust-vs-e-pluribus-unum/
82,https://www.patheos.com/blogs/abletochoose/2016/05/god-in-schools/
83,https://www.patheos.com/blogs/abletochoose/2016/05/video-angry-crowd-sings-jesus-loves-me-at-school-board-meeting-to-silence-dissent/
84,https://www.patheos.com/blogs/abletochoose/2016/05/scientology-hubbard/
85,https://www.patheos.com/blogs/abletochoose/2016/05/who-tricked-eve/
86,https://www.patheos.com/blogs/abletochoose/2016/04/church-shooting/
87,https://www.patheos.com/blogs/abletochoose/2016/04/kirk-cameron-wives/
88,https://www.patheos.com/blogs/abletochoose/2016/04/gods-message-to-pastors/
89,https://www.patheos.com/blogs/abletochoose/2016/04/in-god-we-trust/
90,https://www.patheos.com/blogs/abletochoose/2016/04/we-the-people/
91,https://www.patheos.com/blogs/abletochoose/2016/04/intergalactic-sex-trafficking/
92,https://www.patheos.com/blogs/abletochoose/2016/04/was-jesus-insane-his-own-family-thought-so/
93,https://www.patheos.com/blogs/abletochoose/2016/04/target-transgender-boycott/
94,https://www.patheos.com/blogs/abletochoose/2016/04/tennessee-bible-bill/
95,https://www.patheos.com/blogs/abletochoose/2016/03/they-were-afraid/
96,https://www.patheos.com/blogs/abletochoose/2016/03/good-friday-suicide/
97,https://www.patheos.com/blogs/abletochoose/2016/02/wish-i-never-made-you/
98,https://www.patheos.com/blogs/abletochoose/2016/02/jesus-vs-satan/
99,https://www.patheos.com/blogs/abletochoose/2016/02/creating-god/
100,https://www.patheos.com/blogs/abletochoose/2016/01/jesus-the-stalker/
101,https://www.patheos.com/blogs/abletochoose/2016/01/power-of-prayer/
102,https://www.patheos.com/blogs/abletochoose/2016/01/who-would-jesus-vote-for/
