,Post URL
0,https://www.patheos.com/blogs/everythingoldisnewagain/2018/11/363/
1,https://www.patheos.com/blogs/everythingoldisnewagain/2018/11/what-does-it-mean-to-be-made-in-the-image-of-god/
2,https://www.patheos.com/blogs/everythingoldisnewagain/2018/10/the-heresy-of-the-gospel-of-thomas-a-jewish-perspective/
3,https://www.patheos.com/blogs/everythingoldisnewagain/2018/10/written-text-and-oral-law-why-do-we-need-both/
4,https://www.patheos.com/blogs/everythingoldisnewagain/2018/10/318/
5,https://www.patheos.com/blogs/everythingoldisnewagain/2018/10/god-wants-partners-not-followers-the-tragedy-of-noah/
6,https://www.patheos.com/blogs/everythingoldisnewagain/2018/10/a-view-from-the-womans-section/
7,https://www.patheos.com/blogs/everythingoldisnewagain/2018/10/an-orthodox-jewish-approach-to-reading-genesis-chapter-1/
8,https://www.patheos.com/blogs/everythingoldisnewagain/2018/10/did-god-really-command-genocide-the-case-of-the-canaanites/
9,https://www.patheos.com/blogs/everythingoldisnewagain/2018/10/did-god-really-command-genocide-the-case-of-amalek/
10,https://www.patheos.com/blogs/everythingoldisnewagain/2018/09/simchat-torah-a-celebration-of-continuity/
11,https://www.patheos.com/blogs/everythingoldisnewagain/2018/09/sukkot-you-dont-know-what-you-have-until-its-gone/
12,https://www.patheos.com/blogs/everythingoldisnewagain/2018/09/yom-kippur-is-it-really-the-day-of-atonement/
13,https://www.patheos.com/blogs/everythingoldisnewagain/2018/09/you-wont-believe-what-this-18th-century-rabbi-said-about-christianity/
14,https://www.patheos.com/blogs/everythingoldisnewagain/2018/09/how-orthodox-jews-read-tough-biblical-passages-part-iii-an-eye-for-an-eye/
15,https://www.patheos.com/blogs/everythingoldisnewagain/2018/08/how-orthodox-jews-read-tough-bibical-passages-part-ii-the-case-of-the-rebellious-son/
16,https://www.patheos.com/blogs/everythingoldisnewagain/2018/08/how-orthodox-jews-read-tough-biblical-passages-part-i-marrying-a-female-captive/
17,https://www.patheos.com/blogs/everythingoldisnewagain/2018/08/getting-to-the-table-why-should-jews-trust-the-church/
18,https://www.patheos.com/blogs/everythingoldisnewagain/2018/08/the-issues-that-divide-us-are-the-jews-a-chosen-nation-part-ii/
19,https://www.patheos.com/blogs/everythingoldisnewagain/2018/08/the-issues-that-divide-us-are-the-jews-a-chosen-nation-part-i/
20,https://www.patheos.com/blogs/everythingoldisnewagain/2018/08/beyond-conflict-resolution-jewish-christian-dialogue-reconsidered/
