,Post URL
0,https://www.patheos.com/blogs/albertlittle/what-if-catholics-are-right/
1,https://www.patheos.com/blogs/albertlittle/does-doctrine-really-matter-anymore/
2,https://www.patheos.com/blogs/albertlittle/st-michael-novena-for-our-police-officers/
3,https://www.patheos.com/blogs/albertlittle/the-incredible-satisfaction-of-living-with-the-saints/
4,https://www.patheos.com/blogs/albertlittle/what-would-the-early-church-look-like-if-i-had-a-time-machine-2/
5,https://www.patheos.com/blogs/albertlittle/the-most-important-thing-non-catholics-needs-to-know-about-catholicism/
6,https://www.patheos.com/blogs/albertlittle/go-home-canada-youre-drunk/
7,https://www.patheos.com/blogs/albertlittle/so-you-think-youre-smarter-than-the-early-church-fathers/
8,https://www.patheos.com/blogs/albertlittle/why-i-pray-to-dead-people-and-you-should-too/
9,https://www.patheos.com/blogs/albertlittle/the-catholic-church-must-become-more-protestant/
10,https://www.patheos.com/blogs/albertlittle/does-the-church-need-to-constantly-evolve/
11,https://www.patheos.com/blogs/albertlittle/what-canadian-catholics-need-to-know-about-assisted-suicide/
12,https://www.patheos.com/blogs/albertlittle/why-catholics-sit-stand-and-kneel-during-mass/
13,https://www.patheos.com/blogs/albertlittle/how-to-not-become-a-catholic-a-converts-guide/
14,https://www.patheos.com/blogs/albertlittle/why-im-becoming-a-catholic-at-easter/
15,https://www.patheos.com/blogs/albertlittle/catholics-got-it-wrong-except-for-the-bible/
16,https://www.patheos.com/blogs/albertlittle/on-lent-and-letting-go-of-grudges/
17,https://www.patheos.com/blogs/albertlittle/lets-not-kill-each-other-canadas-euthanasia-crisis/
18,https://www.patheos.com/blogs/albertlittle/what-a-tired-priest-taught-me-about-humility/
19,https://www.patheos.com/blogs/albertlittle/giving-up-complaint-taking-up-mercy/
20,https://www.patheos.com/blogs/albertlittle/no-you-cant-have-the-eucharist-and-thats-ok/
21,https://www.patheos.com/blogs/albertlittle/the-incorruptibles-are-scary-as-hell/
22,https://www.patheos.com/blogs/albertlittle/lent-is-coming-hide-the-kids/
23,https://www.patheos.com/blogs/albertlittle/is-protestantism-a-system-designed-to-fail/
24,https://www.patheos.com/blogs/albertlittle/what-evangelicals-dont-know-about-the-rosary/
25,https://www.patheos.com/blogs/albertlittle/godparents-wanted-apply-within/
26,https://www.patheos.com/blogs/albertlittle/the-new-years-resolution-every-catholic-should-be-making-2/
27,https://www.patheos.com/blogs/albertlittle/when-jesus-said-this-is-my-body-he-meant-it/
28,https://www.patheos.com/blogs/albertlittle/my-first-christmas-as-a-catholic/
29,https://www.patheos.com/blogs/albertlittle/why-are-demons-afraid-of-mary/
30,https://www.patheos.com/blogs/albertlittle/an-evangelical-at-the-door-of-mercy/
31,https://www.patheos.com/blogs/albertlittle/how-much-ritual-is-too-much/
32,https://www.patheos.com/blogs/albertlittle/is-this-why-the-priest-wears-purple/
33,https://www.patheos.com/blogs/albertlittle/a-christianity-without-a-past-a-protestant-deep-in-history/
34,https://www.patheos.com/blogs/albertlittle/my-journey-from-evangelical-to-catholic/
35,https://www.patheos.com/blogs/albertlittle/in-the-face-of-violence-pray-for-peace/
36,https://www.patheos.com/blogs/albertlittle/eucharist-as-evangelist-let-jesus-do-the-talking/
37,https://www.patheos.com/blogs/albertlittle/5-reasons-im-a-better-christian-as-a-catholic/
38,https://www.patheos.com/blogs/albertlittle/i-hate-my-neighbour/
39,https://www.patheos.com/blogs/albertlittle/no-religion-is-not-bad-youre-wrong/
40,https://www.patheos.com/blogs/albertlittle/no-you-dont-know-the-pope/
41,https://www.patheos.com/blogs/albertlittle/i-am-the-pope-and-so-are-you/
42,https://www.patheos.com/blogs/albertlittle/dont-worry-catholics-your-church-will-be-ok/
43,https://www.patheos.com/blogs/albertlittle/jesus-was-a-refugee/
44,https://www.patheos.com/blogs/albertlittle/why-catholicism-is-so-unattractive-to-evangelicals/
45,https://www.patheos.com/blogs/albertlittle/why-cant-we-do-catholicism-well/
46,https://www.patheos.com/blogs/albertlittle/challenging-catholics-interview/
47,https://www.patheos.com/blogs/albertlittle/why-i-left-my-parish-a-cautionary-tale/
48,https://www.patheos.com/blogs/albertlittle/how-do-evangelicals-explain-lourdes/
49,https://www.patheos.com/blogs/albertlittle/do-we-need-to-use-the-word-abortion/
50,https://www.patheos.com/blogs/albertlittle/what-should-we-do-with-bad-catholics/
51,https://www.patheos.com/blogs/albertlittle/if-god-is-good-why-is-christianity-so-confusing/
52,https://www.patheos.com/blogs/albertlittle/this-one-quote-convinced-me-to-be-a-catholic/
53,https://www.patheos.com/blogs/albertlittle/sometimes-prayer-sucks/
54,https://www.patheos.com/blogs/albertlittle/how-i-got-here-from-evangelical-to-catholic/
55,https://www.patheos.com/blogs/albertlittle/why-welcoming-is-key-to-the-new-evangelization/
56,https://www.patheos.com/blogs/albertlittle/so-you-think-youre-smarter-than-the-church-fathers/
57,https://www.patheos.com/blogs/albertlittle/keep-calm-and-carry-on-how-we-respond-to-same-sex-marriage/
58,https://www.patheos.com/blogs/albertlittle/laudato-si-why-the-church-must-speak-to-environmental-issues/
59,https://www.patheos.com/blogs/albertlittle/trusting-god-when-it-really-counts/
60,https://www.patheos.com/blogs/albertlittle/dear-catholics-unsolicited-advice-from-an-evangelical-convert/
61,https://www.patheos.com/blogs/albertlittle/why-the-catholic-church-must-become-more-protestant/
62,https://www.patheos.com/blogs/albertlittle/when-did-the-early-church-lose-its-way/
63,https://www.patheos.com/blogs/albertlittle/what-would-the-early-church-look-like-if-i-had-a-time-machine/
64,https://www.patheos.com/blogs/albertlittle/the-church-is-reading-me-the-bible/
65,https://www.patheos.com/blogs/albertlittle/evangelicals-weve-been-praying-wrong/
66,https://www.patheos.com/blogs/albertlittle/stop-staring-at-the-clouds-and-get-out-there/
67,https://www.patheos.com/blogs/albertlittle/lets-talk-about-mary-as-perpetual-virgin/
68,https://www.patheos.com/blogs/albertlittle/the-catholic-church-is-a-powerhouse-of-prayer/
69,https://www.patheos.com/blogs/albertlittle/confession-the-gym-and-taking-sin-seriously/
70,https://www.patheos.com/blogs/albertlittle/dear-christians-take-our-unity-seriously-because-everyone-is-watching/
71,https://www.patheos.com/blogs/albertlittle/what-every-non-catholics-needs-to-know-about-catholicism/
72,https://www.patheos.com/blogs/albertlittle/a-catholic-convert-and-the-honeymoon-period/
73,https://www.patheos.com/blogs/albertlittle/i-went-to-mass-every-day-for-a-week-and-it-changed-my-life/
74,https://www.patheos.com/blogs/albertlittle/why-catholics-sit-stand-and-kneel-at-mass/
75,https://www.patheos.com/blogs/albertlittle/barriers-to-belief-keeping-christians-from-the-catholic-church/
76,https://www.patheos.com/blogs/albertlittle/how-the-rosary-changed-my-life/
77,https://www.patheos.com/blogs/albertlittle/why-i-changed-my-mind-about-communion/
78,https://www.patheos.com/blogs/albertlittle/why-i-became-a-catholic-this-easter/
79,https://www.patheos.com/blogs/albertlittle/tonights-the-night-thank-you/
80,https://www.patheos.com/blogs/albertlittle/lingering-doubts-on-the-road-to-rome/
81,https://www.patheos.com/blogs/albertlittle/how-to-not-become-a-catholic/
82,https://www.patheos.com/blogs/albertlittle/how-first-confession-blew-my-mind/
83,https://www.patheos.com/blogs/albertlittle/what-i-wish-id-known-about-catholics-and-why-im-becoming-one-now-that-i-do/
84,https://www.patheos.com/blogs/albertlittle/what-catholics-taught-me-about-grace/
85,https://www.patheos.com/blogs/albertlittle/why-creflo-dollar-made-me-a-catholic/
86,https://www.patheos.com/blogs/albertlittle/the-search-for-truth-thoughts-on-rachel-held-evans/
87,https://www.patheos.com/blogs/albertlittle/demons-afraid-mary/
88,https://www.patheos.com/blogs/albertlittle/rock-shifting-seas-catholic-church-appeals-protestant-like/
89,https://www.patheos.com/blogs/albertlittle/lent-letting-go-grudges/
90,https://www.patheos.com/blogs/albertlittle/god-works-making-sense-sacramental-life/
91,https://www.patheos.com/blogs/albertlittle/lent-final-forty-days-protestant/
92,https://www.patheos.com/blogs/albertlittle/stop-debating-started-living-like-catholic/
93,https://www.patheos.com/blogs/albertlittle/learning-marys-miracles-blew-mind/
94,https://www.patheos.com/blogs/albertlittle/amnesiac-church-modern-heresy/
