,Post URL
0,https://www.patheos.com/blogs/wildfoxzen/2019/05/rinzai-and-soto-meet-face-to-face.html
1,https://www.patheos.com/blogs/wildfoxzen/2019/05/zen-practice-for-everyone-and-more.html
2,https://www.patheos.com/blogs/wildfoxzen/2019/04/an-invitation-to-investigate-the-vine-of-obstacles-online-support-for-zen-training.html
3,https://www.patheos.com/blogs/wildfoxzen/2019/04/zen-art-of-oryoki-some-things-i-forgot-to-mention.html
4,https://www.patheos.com/blogs/wildfoxzen/2019/04/the-dharma-for-taking-food-the-zen-art-of-oryoki.html
5,https://www.patheos.com/blogs/wildfoxzen/2019/02/crabs-cartoons-and-solemnity-is-zen-a-joke-or-a-trick.html
6,https://www.patheos.com/blogs/wildfoxzen/2019/02/is-awakening-kensho-a-hallucination-makyo.html
7,https://www.patheos.com/blogs/wildfoxzen/2019/01/hokyoji-memories-on-katagiri-roshis-91st-birthday.html
8,https://www.patheos.com/blogs/wildfoxzen/2018/12/whats-love-got-to-do-with-it-the-most-important-thing-about-hakuins-teaching.html
9,https://www.patheos.com/blogs/wildfoxzen/2018/11/4869.html
10,https://www.patheos.com/blogs/wildfoxzen/2018/10/that-other-story-about-iron-grindstone-liu.html
11,https://www.patheos.com/blogs/wildfoxzen/2018/10/the-truth-of-the-self-through-the-generations-of-our-lineage.html
12,https://www.patheos.com/blogs/wildfoxzen/2018/09/hakuin-flies-a-kite.html
13,https://www.patheos.com/blogs/wildfoxzen/2018/08/4746.html
14,https://www.patheos.com/blogs/wildfoxzen/2018/07/4705.html
15,https://www.patheos.com/blogs/wildfoxzen/2018/07/essential-dogen-and-hakuin-texts-response-to-a-quick-question.html
16,https://www.patheos.com/blogs/wildfoxzen/2018/06/like-salad-with-nasturtium-petals-the-delicious-way-of-zen-master-yunmen.html
17,https://www.patheos.com/blogs/wildfoxzen/2018/06/the-language-of-dragons-introduction-to-zen-koans.html
18,https://www.patheos.com/blogs/wildfoxzen/2018/06/compassion-on-the-edge.html
19,https://www.patheos.com/blogs/wildfoxzen/2018/05/right-to-the-point-reflections-on-the-implications-of-hakuins-zen.html
20,https://www.patheos.com/blogs/wildfoxzen/2018/05/fierce-or-friendly-koan-introspection-for-hakuin-and-today.html
21,https://www.patheos.com/blogs/wildfoxzen/2018/04/hakuins-blistering-criticisms-of-soto-zen-who-and-what.html
22,https://www.patheos.com/blogs/wildfoxzen/2018/04/what-good-is-zen-for-a-student.html
23,https://www.patheos.com/blogs/wildfoxzen/2018/03/4366.html
24,https://www.patheos.com/blogs/wildfoxzen/2018/03/big-idea-big-stupid-big-realization.html
25,https://www.patheos.com/blogs/wildfoxzen/2018/03/post-kensho-training-acquiring-the-ability-to-teach-dunces-of-the-poorer-sort.html
26,https://www.patheos.com/blogs/wildfoxzen/2018/02/hakuin-helps-an-old-soto-priest-favorlessly-meet-birth-and-death.html
27,https://www.patheos.com/blogs/wildfoxzen/2018/02/is-kensho-necessarily-known-by-discriminating-mind.html
28,https://www.patheos.com/blogs/wildfoxzen/2018/02/laying-down-with-a-practitioner-of-great-ability.html
29,https://www.patheos.com/blogs/wildfoxzen/2018/01/the-zen-priesthood-a-fraternity-and-sorority-of-failures.html
30,https://www.patheos.com/blogs/wildfoxzen/2018/01/hakuins-advice-for-how-to-attain-kensho.html
31,https://www.patheos.com/blogs/wildfoxzen/2018/01/wump-there-it-is.html
32,https://www.patheos.com/blogs/wildfoxzen/2018/01/hakuin-on-kensho-post-kensho-and-the-bodhisattva-vow-to-help-others-awaken.html
33,https://www.patheos.com/blogs/wildfoxzen/2018/01/who-is-this-hakuin-guy.html
34,https://www.patheos.com/blogs/wildfoxzen/2017/12/itll-get-swept-away-happy-new-year-anyway.html
35,https://www.patheos.com/blogs/wildfoxzen/2017/12/how-i-got-dogen-wrong-enlightenment-just-sitting-and-the-bodhisattva-heart.html
36,https://www.patheos.com/blogs/wildfoxzen/2017/11/feet-frozen-heart-assured-mutual-verification-homeleaving-householder-practice.html
37,https://www.patheos.com/blogs/wildfoxzen/2017/11/it-came-from-beyond-zen-and-what-dogen-did-not-teach.html
38,https://www.patheos.com/blogs/wildfoxzen/2017/11/dosho-dogen-hater-not-preemptive-blog-dear-critics.html
39,https://www.patheos.com/blogs/wildfoxzen/2017/11/who-am-i-what-is-death-what-happens-after-death.html
40,https://www.patheos.com/blogs/wildfoxzen/2017/11/birth-death-intimate-self-knowledge.html
41,https://www.patheos.com/blogs/wildfoxzen/2017/10/zen-in-fantasyland.html
42,https://www.patheos.com/blogs/wildfoxzen/2017/10/long-distance-train-remembering-beginning-zen-forty-years-ago.html
43,https://www.patheos.com/blogs/wildfoxzen/2017/10/want-soto-zen-priest-fuhgeddaboudit.html
44,https://www.patheos.com/blogs/wildfoxzen/2017/10/luopu-with-one-foot-in-the-grave.html
45,https://www.patheos.com/blogs/wildfoxzen/2017/09/why-why-buddhism-is-true-truly-is-an-important-book.html
46,https://www.patheos.com/blogs/wildfoxzen/2017/09/two-kinds-of-buddhists-unrolling-the-traditionalist-and-modernist-distinction.html
47,https://www.patheos.com/blogs/wildfoxzen/2017/09/what-is-the-true-buddhadharma-reflections-on-the-ancient-chinese-process.html
48,https://www.patheos.com/blogs/wildfoxzen/2017/09/more-or-less-what-is-a-sutra.html
49,https://www.patheos.com/blogs/wildfoxzen/2017/08/introducing-buddhamental-dharmadisorder-101-dharmasplaining.html
50,https://www.patheos.com/blogs/wildfoxzen/2017/08/modest-proposal-facilitator-teacher-master.html
51,https://www.patheos.com/blogs/wildfoxzen/2017/08/enlightenment-in-dispute-standards-for-teachers-now-and-then.html
52,https://www.patheos.com/blogs/wildfoxzen/2017/07/dogen-was-he-enlightened-and-what-did-he-drop.html
53,https://www.patheos.com/blogs/wildfoxzen/2017/07/who-is-arising-extinguishing.html
54,https://www.patheos.com/blogs/wildfoxzen/2017/06/get-silly-good-zen-will-still-suffer.html
55,https://www.patheos.com/blogs/wildfoxzen/2017/06/illuminating-with-grit-and-ease-gateless-barrier-case-1.html
56,https://www.patheos.com/blogs/wildfoxzen/2017/06/what-is-zazen-dogens-koan-realized.html
57,https://www.patheos.com/blogs/wildfoxzen/2017/06/communal-private-zen-everybody-just.html
58,https://www.patheos.com/blogs/wildfoxzen/2017/06/flipping-decoding-chinese-characters-zen-translations.html
59,https://www.patheos.com/blogs/wildfoxzen/2017/06/mu-koan-zennists-just-wanna-fun.html
60,https://www.patheos.com/blogs/wildfoxzen/2017/06/end-zen-exceptionalism-thoughts-zen-center-transitions.html
61,https://www.patheos.com/blogs/wildfoxzen/2016/12/true-bridge-studying-teaching-zen.html
62,https://www.patheos.com/blogs/wildfoxzen/2016/10/dharma-and-relationships-in-bhutan-a-brief-and-very-partial-trip-review.html
63,https://www.patheos.com/blogs/wildfoxzen/2016/10/3294.html
64,https://www.patheos.com/blogs/wildfoxzen/2016/06/moving-to-omaha-to-lead-the-nebraska-zen-center.html
65,https://www.patheos.com/blogs/wildfoxzen/2016/04/the-wave-particle-duality-and-practice-enlightenment.html
66,https://www.patheos.com/blogs/wildfoxzen/2016/02/review-of-brad-warners-latest-dont-be-a-jerk.html
67,https://www.patheos.com/blogs/wildfoxzen/2016/01/just-sit-or-wake-up-a-tale-of-two-old-teachers.html
68,https://www.patheos.com/blogs/wildfoxzen/2015/12/buddhas-enlightenment-yielding-assertively-touching-the-heart.html
69,https://www.patheos.com/blogs/wildfoxzen/2015/12/buddhas-enlightenment-a-single-body-is-revealed.html
70,https://www.patheos.com/blogs/wildfoxzen/2015/12/buddhas-enlighenment-not-clear-about-the-self.html
71,https://www.patheos.com/blogs/wildfoxzen/2015/12/buddhas-enlightenment-sitting-through-it-all.html
72,https://www.patheos.com/blogs/wildfoxzen/2015/12/buddhas-enlightenment-the-root-of-zen.html
73,https://www.patheos.com/blogs/wildfoxzen/2015/11/after-buddhism-embrace-life-let-go-of-what-arises-see-its-ceasing-act.html
74,https://www.patheos.com/blogs/wildfoxzen/2015/10/shaking-up-the-buddhadharma-with-online-practice.html
75,https://www.patheos.com/blogs/wildfoxzen/2015/08/zen-the-authentic-gate.html
76,https://www.patheos.com/blogs/wildfoxzen/2015/06/ducking-the-quacking-koan-soto-zen-koan-and-kensho.html
77,https://www.patheos.com/blogs/wildfoxzen/2015/05/the-no-of-no-no-affirming-the-great-heart-sutra.html
78,https://www.patheos.com/blogs/wildfoxzen/2015/05/a-new-home-for-great-tides-zen.html
79,https://www.patheos.com/blogs/wildfoxzen/2015/05/doug-keido-phillips-ordination.html
80,https://www.patheos.com/blogs/wildfoxzen/2015/04/zenshin-tim-buckley-dies-one-heartbeat-ten-thousand-buddhas.html
81,https://www.patheos.com/blogs/wildfoxzen/2015/04/restraining-the-nevertheless-deluded-one-vine-of-obstacles-turns-two.html
82,https://www.patheos.com/blogs/wildfoxzen/2015/03/the-way-of-tenderness-the-form-and-emptiness-of-race-sexuality-and-gender.html
83,https://www.patheos.com/blogs/wildfoxzen/2015/03/btw-we-have-to-remove-your-feet-being-mortal-waking-up-and-dying-together.html
84,https://www.patheos.com/blogs/wildfoxzen/2015/02/dogen-did-not-practice-shikantaza-and-even-had-a-gaining-idea.html
85,https://www.patheos.com/blogs/wildfoxzen/2015/02/practicing-through-snow-and-cold-or-whatever-afflictions-may-visit.html
86,https://www.patheos.com/blogs/wildfoxzen/2015/01/on-receiving-inka-shomei-from-james-myoun-ford-roshi.html
