,Post URL
0,https://www.patheos.com/blogs/catholicnews/2014/07/portland-archdiocese-consecrated-to-our-lady-of-fatima-2/
1,https://www.patheos.com/blogs/catholicnews/2014/07/portland-archdiocese-consecrated-to-our-lady-of-fatima/
2,https://www.patheos.com/blogs/catholicnews/2014/07/toronto-cardinal-catholic-teaching-on-divorce-not-changing/
3,https://www.patheos.com/blogs/catholicnews/2014/07/retired-lincoln-bishop-recovering-from-heart-attack/
4,https://www.patheos.com/blogs/catholicnews/2014/07/minn-archbishop-cooperates-with-investigation-of-false-claims/
5,https://www.patheos.com/blogs/catholicnews/2014/07/legal-experts-hobby-lobby-ruling-may-have-broad-implications/
6,https://www.patheos.com/blogs/catholicnews/2014/07/christian-doctors-encouraged-but-cautious-after-court-ruling/
7,https://www.patheos.com/blogs/catholicnews/2014/07/opus-dei-to-display-remains-of-bishop-del-portillo-after-beatification/
8,https://www.patheos.com/blogs/catholicnews/2014/07/show-joy-of-christian-family-life-denver-archbishop-teaches/
9,https://www.patheos.com/blogs/catholicnews/2014/07/pope-francis-to-hold-audience-with-elderly-grandparents/
10,https://www.patheos.com/blogs/catholicnews/2014/07/us-ambassador-pope-draws-global-attention-to-trafficking/
11,https://www.patheos.com/blogs/catholicnews/2014/07/hobby-lobby-ruling-draws-renewed-commitment-from-congress/
12,https://www.patheos.com/blogs/catholicnews/2014/07/former-legionaries-of-christ-leaders-dies-from-cancer/
13,https://www.patheos.com/blogs/catholicnews/2014/06/hobby-lobby-ruling-lauded-as-big-win-for-freedom/
14,https://www.patheos.com/blogs/catholicnews/2014/06/vatican-grieves-deaths-of-three-kidnapped-israeli-teenagers/
15,https://www.patheos.com/blogs/catholicnews/2014/06/pope-says-communists-stole-christianitys-concern-for-poor/
16,https://www.patheos.com/blogs/catholicnews/2014/06/pope-selects-michigan-priest-to-become-bishop/
17,https://www.patheos.com/blogs/catholicnews/2014/06/ewtn-granted-emergency-relief-from-contraception-mandate/
18,https://www.patheos.com/blogs/catholicnews/2014/06/hartford-archbishop-receiving-pallium-a-moving-experience/
19,https://www.patheos.com/blogs/catholicnews/2014/06/supreme-court-upholds-religious-freedom-for-hobby-lobby/
20,https://www.patheos.com/blogs/catholicnews/2014/06/pope-francis-church-grows-from-the-blood-of-the-martyrs/
21,https://www.patheos.com/blogs/catholicnews/2014/06/ultimate-freedom-means-choosing-the-good-bishop-says/
22,https://www.patheos.com/blogs/catholicnews/2014/06/feast-of-peter-and-paul-celebrates-gods-mercy-pope-says/
23,https://www.patheos.com/blogs/catholicnews/2014/06/trust-in-god-overcomes-worldly-fears-pope-tells-archbishops/
24,https://www.patheos.com/blogs/catholicnews/2014/06/the-story-of-father-mcgivney-extraordinary-priest/
25,https://www.patheos.com/blogs/catholicnews/2014/06/boulder-defies-colo-law-with-gay-marriage-licenses/
26,https://www.patheos.com/blogs/catholicnews/2014/06/ewtn-files-for-emergency-mandate-relief-with-supreme-court/
27,https://www.patheos.com/blogs/catholicnews/2014/06/archbishop-mandate-ruling-threatens-phillys-vulnerable/
28,https://www.patheos.com/blogs/catholicnews/2014/06/sudanese-christian-woman-released-again/
29,https://www.patheos.com/blogs/catholicnews/2014/06/bishop-cites-teaching-of-popes-in-push-to-protect-migrant-kids/
30,https://www.patheos.com/blogs/catholicnews/2014/06/vatican-laicizes-former-nuncio-to-dominican-republic/
31,https://www.patheos.com/blogs/catholicnews/2014/06/pope-cancels-hospital-visit-due-to-sudden-indisposition/
32,https://www.patheos.com/blogs/catholicnews/2014/06/pope-francis-love-of-god-is-both-generous-active/
33,https://www.patheos.com/blogs/catholicnews/2014/06/peace-in-middle-east-can-flourish-again-pope-assures/
34,https://www.patheos.com/blogs/catholicnews/2014/06/major-fbi-bust-highlights-problem-of-human-trafficking/
35,https://www.patheos.com/blogs/catholicnews/2014/06/life-is-not-ours-to-end-canadians-say-against-suicide-bill/
36,https://www.patheos.com/blogs/catholicnews/2014/06/religious-applicants-fare-worse-in-job-hunt-studies-suggest/
37,https://www.patheos.com/blogs/catholicnews/2014/06/vatican-releases-outline-for-october-synod-on-the-family/
38,https://www.patheos.com/blogs/catholicnews/2014/06/supreme-courts-abortion-clinic-ruling-hailed-as-win-for-women/
39,https://www.patheos.com/blogs/catholicnews/2014/06/pope-jesus-was-a-pastor-not-a-moralistic-power-seeker/
40,https://www.patheos.com/blogs/catholicnews/2014/06/supreme-court-unanimously-rejects-abortion-clinic-buffer-zones/
41,https://www.patheos.com/blogs/catholicnews/2014/06/peace-in-middle-east-can-flourish-again-pope-assures-2/
42,https://www.patheos.com/blogs/catholicnews/2014/06/franciscans-of-the-immaculate-to-receive-house-in-rome/
43,https://www.patheos.com/blogs/catholicnews/2014/06/apostolate-teaches-women-their-irreplaceable-value-dignity/
44,https://www.patheos.com/blogs/catholicnews/2014/06/vatican-to-appoint-adviser-for-legionaries-of-christ/
45,https://www.patheos.com/blogs/catholicnews/2014/06/irs-ordered-to-pay-50000-to-marriage-defense-group/
46,https://www.patheos.com/blogs/catholicnews/2014/06/holy-see-bolsters-financial-transparency-in-argentine-agreement/
47,https://www.patheos.com/blogs/catholicnews/2014/06/new-york-catholics-angered-over-financial-hit-to-students/
48,https://www.patheos.com/blogs/catholicnews/2014/06/chaldean-priest-says-little-hope-for-christians-in-iraq/
49,https://www.patheos.com/blogs/catholicnews/2014/06/bishops-letter-on-language-of-love-finds-global-audience/
50,https://www.patheos.com/blogs/catholicnews/2014/06/vatican-upholds-nature-importance-of-family-in-un-session/
51,https://www.patheos.com/blogs/catholicnews/2014/06/being-a-christian-means-belonging-to-the-church-pope-affirms/
52,https://www.patheos.com/blogs/catholicnews/2014/06/mother-daughter-find-faith-despite-unexpected-pregnancy/
53,https://www.patheos.com/blogs/catholicnews/2014/06/catholic-site-aims-to-engage-through-beauty-accessibility/
54,https://www.patheos.com/blogs/catholicnews/2014/06/popes-mafia-excommunication-a-call-to-conversion-priests-explain/
55,https://www.patheos.com/blogs/catholicnews/2014/06/bishop-government-corruption-a-factor-in-boko-haram-violence/
56,https://www.patheos.com/blogs/catholicnews/2014/06/discrimination-order-sparks-fears-over-religious-liberty/
57,https://www.patheos.com/blogs/catholicnews/2014/06/ap-issues-massive-correction-on-ireland-child-burial-story/
58,https://www.patheos.com/blogs/catholicnews/2014/06/pope-a-christian-does-not-announce-himself-but-the-lord/
59,https://www.patheos.com/blogs/catholicnews/2014/06/sudanese-woman-sentenced-to-death-re-arrested/
60,https://www.patheos.com/blogs/catholicnews/2014/06/vatican-cricket-team-to-play-church-of-england-in-first-tour/
61,https://www.patheos.com/blogs/catholicnews/2014/06/st-faustina-play-brings-message-of-divine-mercy-to-life/
62,https://www.patheos.com/blogs/catholicnews/2014/06/church-must-reclaim-its-missionary-identity-italian-priest-says/
63,https://www.patheos.com/blogs/catholicnews/2014/06/hate-groups-presence-shocks-attendees-at-priest-funeral/
64,https://www.patheos.com/blogs/catholicnews/2014/06/archbishop-church-must-be-free-to-imitate-christ-through-service/
65,https://www.patheos.com/blogs/catholicnews/2014/06/global-eucharistic-congress-in-philippines-to-focus-on-hope/
66,https://www.patheos.com/blogs/catholicnews/2014/06/release-of-christian-woman-in-sudan-draws-gratitude-praise/
67,https://www.patheos.com/blogs/catholicnews/2014/06/pope-francis-stops-car-to-bless-young-disabled-woman/
68,https://www.patheos.com/blogs/catholicnews/2014/06/defend-others-before-the-father-pope-francis-urges/
69,https://www.patheos.com/blogs/catholicnews/2014/06/bosnian-catholics-in-a-grave-position-cardinal-warns/
70,https://www.patheos.com/blogs/catholicnews/2014/06/sacred-art-evangelizes-hearts-catholic-experts-say/
71,https://www.patheos.com/blogs/catholicnews/2014/06/pennsylvania-boarding-school-aims-to-build-catholic-culture/
72,https://www.patheos.com/blogs/catholicnews/2014/06/gods-immeasurable-love-transforms-lives-emphasizes-pope/
73,https://www.patheos.com/blogs/catholicnews/2014/06/presbyterian-denominations-gay-marriage-votes-draw-criticism/
74,https://www.patheos.com/blogs/catholicnews/2014/06/fraternity-of-st-peter-celebrates-life-of-slain-phoenix-priest/
75,https://www.patheos.com/blogs/catholicnews/2014/06/activists-push-for-awareness-of-north-korea-human-rights-abuses/
76,https://www.patheos.com/blogs/catholicnews/2014/06/pope-slams-mafia-as-adorers-of-evil/
77,https://www.patheos.com/blogs/catholicnews/2014/06/supporters-from-around-the-us-rally-for-marriage/
78,https://www.patheos.com/blogs/catholicnews/2014/06/god-is-a-master-of-reintegration-pope-assures-prisoners/
79,https://www.patheos.com/blogs/catholicnews/2014/06/pope-encourages-priests-to-work-in-joy-brotherhood/
80,https://www.patheos.com/blogs/catholicnews/2014/06/marriage-matters-for-society-says-homilist-at-national-mass/
81,https://www.patheos.com/blogs/catholicnews/2014/06/on-world-refugee-day-bishops-implore-u-s-to-address-syria/
82,https://www.patheos.com/blogs/catholicnews/2014/06/euthanasia-case-heads-to-french-high-court/
83,https://www.patheos.com/blogs/catholicnews/2014/06/pope-francis-decries-persecution-of-christians/
84,https://www.patheos.com/blogs/catholicnews/2014/06/brazilian-diocese-offers-foreign-language-masses-during-world-cup/
85,https://www.patheos.com/blogs/catholicnews/2014/06/pope-warns-against-false-securities-of-wealth-vanity-power/
86,https://www.patheos.com/blogs/catholicnews/2014/06/salesians-back-more-humane-solutions-for-asylum-seekers-in-italy/
87,https://www.patheos.com/blogs/catholicnews/2014/06/archbishop-cordileone-calls-for-a-civilization-of-truth-and-love/
88,https://www.patheos.com/blogs/catholicnews/2014/06/pope-problem-of-drug-use-is-not-solved-by-other-drugs/
89,https://www.patheos.com/blogs/catholicnews/2014/06/bosnian-school-seeks-to-strengthen-interethnic-relations/
90,https://www.patheos.com/blogs/catholicnews/2014/06/ratzinger-prize-honorees-show-intellectual-vitality-cardinal-says/
91,https://www.patheos.com/blogs/catholicnews/2014/06/archbishop-hopes-colombian-president-will-work-for-peace/
92,https://www.patheos.com/blogs/catholicnews/2014/06/st-john-paul-ii-relic-to-tour-east-coast-starting-in-boston/
93,https://www.patheos.com/blogs/catholicnews/2014/06/marriage-breakdown-threatens-society-religious-leaders-say/
94,https://www.patheos.com/blogs/catholicnews/2014/06/eucharist-the-bread-of-love-pope-says-on-corpus-christi/
95,https://www.patheos.com/blogs/catholicnews/2014/06/marriage-stabilizing-for-society-activists-proclaim/
96,https://www.patheos.com/blogs/catholicnews/2014/06/chilean-bishop-world-cup-should-remind-us-of-human-dignity/
97,https://www.patheos.com/blogs/catholicnews/2014/06/auxiliary-bishop-of-baltimore-transferred-to-springfield/
98,https://www.patheos.com/blogs/catholicnews/2014/06/vatican-theologians-acknowledge-archbishop-sheen-miracle/
99,https://www.patheos.com/blogs/catholicnews/2014/06/catholic-news-agency-aci-group-merging-into-ewtn/
100,https://www.patheos.com/blogs/catholicnews/2014/06/child-migrants-may-be-refugees-seeking-asylum-experts-say/
101,https://www.patheos.com/blogs/catholicnews/2014/06/vatican-releases-itinerary-for-popes-visit-to-korea/
