,Post URL
0,https://www.patheos.com/blogs/aftertheecstasy/this-is-a-great-joke/
1,https://www.patheos.com/blogs/aftertheecstasy/tough-day-to-post/
2,https://www.patheos.com/blogs/aftertheecstasy/why-do-i-do-the-things-that-i-hate/
3,https://www.patheos.com/blogs/aftertheecstasy/another-day-another-dollar/
4,https://www.patheos.com/blogs/aftertheecstasy/ok-theres-a-first-time-for-everything/
5,https://www.patheos.com/blogs/aftertheecstasy/after-the-ecstasy-the-laundry/
6,https://www.patheos.com/blogs/aftertheecstasy/another-quotidian-day/
7,https://www.patheos.com/blogs/aftertheecstasy/goodness-gracious/
8,https://www.patheos.com/blogs/aftertheecstasy/what-im-reading/
9,https://www.patheos.com/blogs/aftertheecstasy/another-day-not-going-as-planned-sort-of/
10,https://www.patheos.com/blogs/aftertheecstasy/well-im-finally-doing-this/
