,Post URL
0,https://www.patheos.com/blogs/akramsrazor/2014/03/the-not-so-strange-resilience-of-takfarism/
1,https://www.patheos.com/blogs/akramsrazor/2014/03/amazon-leading-the-way-back-to-the-19th-century/
2,https://www.patheos.com/blogs/akramsrazor/2014/02/csm-on-american-muslims/
3,https://www.patheos.com/blogs/akramsrazor/2013/11/veil-por/
4,https://www.patheos.com/blogs/akramsrazor/2013/09/fox-news-in-all-its-glory/
5,https://www.patheos.com/blogs/akramsrazor/2013/07/the-pros-and-cons-of-white-house-iftars/
6,https://www.patheos.com/blogs/akramsrazor/2013/01/jabba-the-turk/
7,https://www.patheos.com/blogs/akramsrazor/2013/01/amitabh-pal-on-nonviolence-in-islam/
8,https://www.patheos.com/blogs/akramsrazor/2013/01/conspiracy-theories-and-mainstream-criticism-of-islam-in-american-politics/
9,https://www.patheos.com/blogs/akramsrazor/2013/01/secularists-and-the-innocence-of-muslims-brouhaha/
10,https://www.patheos.com/blogs/akramsrazor/2013/01/fasting-during-pregnancy/
11,https://www.patheos.com/blogs/akramsrazor/2012/12/yuletide-musings-on-the-ramadan-shutdown/
12,https://www.patheos.com/blogs/akramsrazor/2012/11/why-is-apple-denying-american-voters-information-about-drone-attacks/
13,https://www.patheos.com/blogs/akramsrazor/2012/09/brian-d-mclarens-why-did-jesus-moses-the-buddha-and-mohammed-cross-the-road/
14,https://www.patheos.com/blogs/akramsrazor/2012/09/haroon-mughal-shows-how-it-done-on-cnn/
15,https://www.patheos.com/blogs/akramsrazor/2012/09/new-investigative-report-on-h-rap-brown/
16,https://www.patheos.com/blogs/akramsrazor/2012/07/innovative-upcoming-online-course-on-islamophobia/
17,https://www.patheos.com/blogs/akramsrazor/2012/07/supporting-the-few-media-that-support-us/
18,https://www.patheos.com/blogs/akramsrazor/2012/07/new-york-times-op-ed-on-hijab/
19,https://www.patheos.com/blogs/akramsrazor/2012/06/bringing-the-greater-jihad-to-the-silver-screen/
20,https://www.patheos.com/blogs/akramsrazor/2012/05/publishers-weekly-review-of-all-american-45-american-men-on-being-muslim/
21,https://www.patheos.com/blogs/akramsrazor/2012/05/the-latest-gem-from-the-creeping-sharia-brigade/
22,https://www.patheos.com/blogs/akramsrazor/2012/04/fear-not-weekend-at-bernies-is-haram-after-all/
23,https://www.patheos.com/blogs/akramsrazor/2012/04/the-fiqh-of-weekend-at-bernies/
24,https://www.patheos.com/blogs/akramsrazor/2012/04/new-website-for-all-american-45-american-men-on-being-muslim/
25,https://www.patheos.com/blogs/akramsrazor/2012/04/anders-breivik-and-islamofascisms-youthful-bloom/
26,https://www.patheos.com/blogs/akramsrazor/2012/04/tikkun-daily-the-nt-as-jewish-lit-and-reading-scripture-in-historical-context/
27,https://www.patheos.com/blogs/akramsrazor/2012/04/essay-on-malcolm-x-in-claremont-review/
28,https://www.patheos.com/blogs/akramsrazor/2012/03/praying-to-which-god-i-wonder/
29,https://www.patheos.com/blogs/akramsrazor/2012/03/tikkun-daily-think-the-nypd-is-infiltrating-pat-robertsons-church/
30,https://www.patheos.com/blogs/akramsrazor/2012/02/teaching-kids-the-holy-quran-with-legos/
31,https://www.patheos.com/blogs/akramsrazor/2012/02/skewering-racism-on-public-radio/
32,https://www.patheos.com/blogs/akramsrazor/2012/02/all-american-45-american-men-on-being-muslim/
33,https://www.patheos.com/blogs/akramsrazor/2012/01/insights-into-diversity-within-the-muslim-brotherhood/
34,https://www.patheos.com/blogs/akramsrazor/2012/01/the-transformers-face-a-truly-eldritch-horror/
35,https://www.patheos.com/blogs/akramsrazor/2012/01/beware-the-peaceful-decoy-muslims/
