,Post URL
0,https://www.patheos.com/blogs/twentyfiveandcatholic/2018/01/everyone-terrible-dating-decided-write-blog-post/
1,https://www.patheos.com/blogs/twentyfiveandcatholic/2018/01/guest-post-nicu-nurses-take-womens-march-washington/
2,https://www.patheos.com/blogs/twentyfiveandcatholic/2018/01/survey-series-25-catholic-party/
3,https://www.patheos.com/blogs/twentyfiveandcatholic/2017/11/survey-series-episode-1-25-catholic-tryna-get-dates/
4,https://www.patheos.com/blogs/twentyfiveandcatholic/2017/11/25-catholic-series-going-blow-freakin-mind/
5,https://www.patheos.com/blogs/twentyfiveandcatholic/2017/10/25-catholic-super-stressed-2/
6,https://www.patheos.com/blogs/twentyfiveandcatholic/2017/10/25-catholic-age-porn/
7,https://www.patheos.com/blogs/twentyfiveandcatholic/2017/10/25-catholic-seeking-holy-friendships/
8,https://www.patheos.com/blogs/twentyfiveandcatholic/2017/10/25-catholic-finding-peace-aloneness/
9,https://www.patheos.com/blogs/twentyfiveandcatholic/2017/10/25-catholic-also-woman/
10,https://www.patheos.com/blogs/twentyfiveandcatholic/2017/09/25-catholic-call/
11,https://www.patheos.com/blogs/twentyfiveandcatholic/2017/09/heres-25-catholic-every-young-adults-favorite-blog-internet/
