,Post URL
0,https://www.patheos.com/blogs/carlmccolman/2019/05/julian-of-norwichs-timeless-message/
1,https://www.patheos.com/blogs/carlmccolman/2019/05/im-uncomfortable-with-the-language-of-the-false-self-heres-why/
2,https://www.patheos.com/blogs/carlmccolman/2019/05/uncovering-the-spiritual-heart-through-contemplative-practice/
3,https://www.patheos.com/blogs/carlmccolman/2019/05/the-challenges-of-spiritual-simplicity/
4,https://www.patheos.com/blogs/carlmccolman/2019/04/persevering-through-the-dry-times-of-prayer/
5,https://www.patheos.com/blogs/carlmccolman/2019/04/after-wisdom-speculating-on-the-future-of-humanity/
6,https://www.patheos.com/blogs/carlmccolman/2019/04/advice-to-a-young-christian-about-witchcraft-and-the-spiritual-world/
7,https://www.patheos.com/blogs/carlmccolman/2019/04/now-is-the-time-to-wake-up/
8,https://www.patheos.com/blogs/carlmccolman/2019/04/if-contemplative-prayer-is-for-resting-in-god-what-role-does-repentance-play/
9,https://www.patheos.com/blogs/carlmccolman/2019/04/the-royal-donkey-and-the-reign-of-humble-peace/
10,https://www.patheos.com/blogs/carlmccolman/2019/04/joyful-penitence-and-a-continuous-lent/
11,https://www.patheos.com/blogs/carlmccolman/2019/04/intention-attention-and-the-practice-of-contemplative-prayer/
12,https://www.patheos.com/blogs/carlmccolman/2019/04/the-poetics-of-faith-or-why-centering-prayer-is-a-method-and-not-a-technique/
13,https://www.patheos.com/blogs/carlmccolman/2019/04/two-contemplative-events-in-asheville-nc-april-26-and-27/
14,https://www.patheos.com/blogs/carlmccolman/2019/03/is-centering-prayer-old-or-new/
15,https://www.patheos.com/blogs/carlmccolman/2019/03/four-questions-about-centering-prayer-and-other-forms-of-contemplative-practice/
16,https://www.patheos.com/blogs/carlmccolman/2019/03/requiem-for-a-not-quite-friend/
17,https://www.patheos.com/blogs/carlmccolman/2019/03/six-videos-on-a-variety-of-contemplative-topics/
18,https://www.patheos.com/blogs/carlmccolman/2019/03/five-ways-to-think-about-christian-mysticism/
19,https://www.patheos.com/blogs/carlmccolman/2019/03/kindle-no-fire-a-detail-thats-missing-from-recent-books-about-observing-the-sabbath/
20,https://www.patheos.com/blogs/carlmccolman/2019/03/when-to-let-the-prayer-word-fall-away-and-when-to-keep-on-praying-it/
21,https://www.patheos.com/blogs/carlmccolman/2019/02/answer-the-contemplative-call-for-less-than-a-dollar-heres-a-great-idea-for-your-lenten-reading/
22,https://www.patheos.com/blogs/carlmccolman/2019/02/unteachable-lessons-why-spirituality-cant-be-taught-and-why-thats-okay/
23,https://www.patheos.com/blogs/carlmccolman/2019/02/walter-hilton-a-contemplative-guide-who-will-take-you-back-to-the-basics/
24,https://www.patheos.com/blogs/carlmccolman/2019/02/how-can-a-god-who-hates-evil-be-in-favor-of-nondual-consciousness/
25,https://www.patheos.com/blogs/carlmccolman/2019/02/great-mystical-book-covers/
26,https://www.patheos.com/blogs/carlmccolman/2019/02/how-to-find-god-in-your-dreams/
27,https://www.patheos.com/blogs/carlmccolman/2019/02/the-easy-way-to-pray-the-liturgy-of-the-hours/
28,https://www.patheos.com/blogs/carlmccolman/2019/02/inter-religious-spirituality-and-the-contemplative-renaissance-how-our-friends-from-other-faiths-helped-christians-rediscover-our-spiritual-heart/
29,https://www.patheos.com/blogs/carlmccolman/2019/02/contemplation-atheism-and-amputees/
30,https://www.patheos.com/blogs/carlmccolman/2019/02/on-the-feast-of-the-presentation-candlemas-lets-practice-presenting-christ-to-one-another/
31,https://www.patheos.com/blogs/carlmccolman/2019/01/religious-violence-hate-crimes-and-contemplation/
32,https://www.patheos.com/blogs/carlmccolman/2019/01/a-contemplative-perspective-on-tithing-at-church-and-beyond/
33,https://www.patheos.com/blogs/carlmccolman/2019/01/navigating-through-the-bibles-shadow/
34,https://www.patheos.com/blogs/carlmccolman/2019/01/seven-contemplative-new-years-resolutions-that-are-worth-adopting-any-time-of-the-year/
35,https://www.patheos.com/blogs/carlmccolman/2019/01/understanding-how-contemplation-and-mysticism-are-different-and-similar/
36,https://www.patheos.com/blogs/carlmccolman/2019/01/twelve-contemplative-books-for-spiritual-transformation/
37,https://www.patheos.com/blogs/carlmccolman/2019/01/i-feel-called-to-a-life-of-solitude-what-should-i-do/
38,https://www.patheos.com/blogs/carlmccolman/2019/01/the-contemplative-life-in-three-easy-steps/
39,https://www.patheos.com/blogs/carlmccolman/2019/01/after-the-silence-or-the-long-process-of-forming-a-contemplative-life/
40,https://www.patheos.com/blogs/carlmccolman/2019/01/silence-is-not-a-vow-not-even-for-monks/
41,https://www.patheos.com/blogs/carlmccolman/2018/12/privilege-of-silence/
